1. people – le peuple
2. time – le temps
3. year – l'année
4. thing – la chose
5. way – le chemin
6. day – le jour
7. man – l'homme
8. state – l'état
9. lot – le lot
10. woman – la femme
11. country – le pays
12. life – la vie
13. question – la question
14. president – le président
15. child – l'enfant
16. week – la semaine
17. world – monde
18. kind – le genre
19. case – le cas
20. problem – le problème
21. fact – le fait
22. family – la famille
23. story – l'histoire
24. point – le point
25. government – le gouvernement
26. money – l'argent
27. issue – la question
28. part – la partie
29. morning – Le matin
30. guy – le gars
31. number – le nombre
32. job – le travail
33. night – la nuit
34. right – le droit
35. school – l'école
36. place – le lieu
37. war – la guerre
38. kid – l'enfant
39. month – le mois
40. book – le livre
41. hour – l'heure
42. show – le spectacle
43. police – la police
44. program – le programme
45. party – la partie
46. law – la loi
47. word – le mot
48. person – la personne
49. home – la maison
50. business – l'entreprise
51. friend – l'ami
52. company – l'entreprise
53. side – le côté
54. tax – la taxe
55. democrat – le démocrate
56. group – le groupe
57. moment – Actuellement
58. break – la pause
59. idea – l'idée
60. member – le membre
61. system – le système
62. minute – la minute
63. reason – la raison
64. campaign – la campagne
65. work – l'oeuvre
66. nation – la nation
67. congress – le congrès
68. mother – la mère
69. force – la force
70. health – la santé
71. back – l'arrière
72. area – la zone
73. name – le nom
74. report – le rapport
75. hand – la main
76. line – la ligne
77. end – la fin
78. court – le tribunal
79. care – les soins
80. couple – le couple
81. house – la maison
82. american – l'américain
83. father – le père
84. situation – la situation
85. car – la voiture
86. parent – le parent
87. administration – l'administration
88. drug – le médicament
89. city – la ville
90. sense – le sens
91. policy – la politique
92. office – le bureau
93. decision – la décision
94. power – la puissance
95. plan – le plan
96. leader – le leader
97. information – les informations
98. election – l'élection
99. movie – le film
100. death – la mort
101. air – l'air
102. call – l'appel
103. community – la communauté
104. look – le look
105. evidence – la preuve
106. girl – la jeune fille
107. doctor – le médecin
108. vote – le vote
109. video – la vidéo
110. picture – l'image
111. room – la chambre
112. bit – le bit
113. economy – l'économie
114. phone – le téléphone
115. history – l'histoire
116. sort – le genre
117. boy – le garçon
118. crime – le crime
119. process – le processus
120. wife – l'épouse
121. music – la musique
122. water – l'eau
123. service – le service
124. record – le dossier
125. security – la sécurité
126. talk – le discours
127. mind – l'esprit
128. head – la tête
129. candidate – le candidat
130. official – le fonctionnaire
131. camera – l'appareil photo
132. student – l'étudiant
133. attack – l'attaque
134. chance – la chance
135. game – le jeu
136. baby – le bébé
137. south – sud
138. change – le changement
139. trial – le procès
140. body – le corps
141. market – le marché
142. stuff – l'étoffe
143. interest – l'intérêt
144. weapon – l'arme
145. heart – cœur
146. son – le fils
147. team – l'équipe
148. town – la ville
149. television – la télévision
150. will – la volonté
151. troop – la troupe
152. judge – le juge
153. action – l'action
154. answer – la réponse
155. position – la position
156. view – la vue
157. difference – la différence
158. food – la nourriture
159. daughter – la fille
160. race – la course
161. deal – l'accord
162. street – la rue
163. price – le prix
164. message – le message
165. control – le contrôle
166. debate – le débat
167. officer – l'agent
168. film – le film
169. level – le niveau
170. effort – l'effort
171. relationship – la relation
172. correspondent – le correspondant
173. ground – le sol
174. piece – la pièce
175. husband – le mari
176. budget – le budget
177. jury – le jury
178. reporter – le journaliste
179. weekend – le week-end
180. matter – la matière
181. age – l'âge
182. gun – le pistolet
183. peace – la paix
184. murder – l'assassiner
185. role – le rôle
186. investigation – l'enquête
187. experience – l'expérience
188. hospital – l'hôpital
189. eye – l'oeil
190. director – le directeur
191. future – l'avenir
192. face – le visage
193. oil – l'huile
194. result – le résultat
195. public – le public
196. lawyer – l'avocat
197. poll – le scrutin
198. second – la seconde
199. opportunity – la possibilité
200. industry – l'industrie
201. brother – le frère
202. statement – la déclaration
203. fire – le feu
204. love – l'amour
205. rate – le taux
206. effect – l'effet
207. song – la chanson
208. event – l'événement
209. charge – la charge
210. support – le support
211. radio – la radio
212. building – bâtiment
213. bank – la banque
214. victim – la victime
215. door – la porte
216. interview – l'interview
217. scene – la scène
218. rest – le reste
219. press – la presse
220. attention – l'attention
221. choice – le choix
222. speech – le discours
223. patient – le patient
224. truth – la vérité
225. road – la route
226. term – le terme
227. site – le site
228. worker – le travailleur
229. professor – le professeur
230. letter – la lettre
231. reform – la réforme
232. concern – la préoccupation
233. folk – les gens
234. sex – sexe
235. study – l'étude
236. college – le collège
237. voter – l'électeur
238. wall – le mur
239. evening – le soir
240. meeting – la réunion
241. voice – la voix
242. audience – l'auditoire
243. violence – la violence
244. rule – la règle
245. star – l'étoile
246. test – le test
247. education – l'éducation
248. trouble – la peine
249. risk – le risque
250. prison – la prison
251. guest – l'invité
252. class – la classe
253. society – de la société
254. soldier – le soldat
255. plane – le plan
256. amount – la quantité
257. help – l'aide
258. cost – le coût
259. authority – l'autorité
260. foot – le pied
261. period – la période
262. feeling – le sentiment
263. step – l'étape consistant à
264. cause – la cause
265. tape – la bande
266. threat – la menace
267. opinion – l'opinion
268. organization – l'organisation
269. type – le type
270. conversation – la conversation
271. disease – la maladie
272. operation – l'opération
273. cancer – le cancer
274. magazine – le magazine
275. governor – le gouverneur
276. pressure – la pression
277. majority – la majorité
278. research – la recherche
279. character – le caractère
280. station – la station
281. crisis – la crise
282. expert – l'expert
283. blood – le sang
284. chairman – le président
285. argument – l'argument
286. list – la liste
287. dog – le chien
288. computer – l'ordinateur
289. beginning – début
290. insurance – l'assurance
291. field – le domaine
292. sister – la sœur
293. mistake – l'erreur
294. player – le joueur
295. energy – l'énergie
296. paper – le papier
297. space – l'espace
298. store – la boutique
299. agreement – l'accord
300. responsibility – la responsabilité
301. lady – la dame
302. order – l'ordre
303. summer – l'été
304. product – le produit
305. value – la valeur
306. stock – le stock
307. intelligence – l'intelligence
308. teacher – l'enseignant
309. agency – l'agence
310. trade – le commerce
311. conference – la conférence
312. cell – la cellule
313. church – l'église
314. comment – le commentaire
315. source – la source
316. past – le passé
317. cut – la coupe
318. thought – la pensée
319. credit – le crédit
320. hope – l'espoir
321. sign – le signe
322. career – de la carrière
323. marriage – le mariage
324. condition – la condition
325. witness – le témoin
